benchmark_id,log_constants,log_booleans,log_ranges,log_bits,log_lists,log_values,log_extra_booleans,log_extra_ranges,log_extra_bits,log_extra_values,log_constraints,log_search_vars,dyn_log_avg_weight,dyn_log_stdev_weight,dyn_log_nodes,dyn_log_propags,max_arity,percent_ext,percent_global,percent_gac_predicate,percent_dec_predicate,sqrt_avg_domsize,sqrt_max_domsize,percent_avg_continuity,percent_min_continuity,num_alldiff,perten_binext,perten_naryext,perten_largeext,percent_alldiff,percent_wsum,percent_element,percent_cumulative,perten_avg_predshape,perten_avg_predsize,perten_avg_predarity
1,-1.0,-1.0,0.0,-1.0,5.28540221886,7.32192809489,-1.0,-1.0,-1.0,-1.0,6.37503943135,5.32192809489,2.16188768238,0.913782503325,-1.0,1.58496250072,2.0,100.0,6.41025641026,0.0,0.0,2.0,2.0,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2,-1.0,8.81378119122,-1.0,-1.0,-1.0,9.81378119122,-1.0,-1.0,-1.0,-1.0,12.5936245497,8.81378119122,4.89713283804,2.98277922569,-1.0,0.0,2.0,100.0,8.17290864543,0.0,0.0,1.41421356237,1.41421356237,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,5.55458885168,7.55458885168,-1.0,-1.0,-1.0,-1.0,7.88264304936,5.55458885168,7.731680111,7.41439404429,10.4625022726,17.9253979694,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,100.0,0.0,10.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,0.0,-1.0,5.28540221886,6.90689059561,-1.0,-1.0,-1.0,-1.0,6.37503943135,5.32192809489,2.16188768238,0.913782503325,-1.0,0.0,2.0,100.0,6.41025641026,0.0,0.0,1.73205080757,1.73205080757,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,4.90689059561,6.49185309633,-1.0,-1.0,-1.0,-1.0,6.55458885168,4.90689059561,2.88752527074,1.86341560852,-1.0,0.0,2.0,100.0,16.049382716,0.0,0.0,1.73205080757,1.73205080757,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0,-1.0,4.64385618977,6.64385618977,-1.0,-1.0,-1.0,-1.0,7.78135971352,4.64385618977,4.56559717585,2.14261232273,-1.0,0.0,2.0,100.0,37.5,0.0,0.0,2.0,2.0,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0,-1.0,5.55458885168,8.1395513524,-1.0,-1.0,-1.0,-1.0,7.88264304936,5.55458885168,2.32805419768,2.7045071974,5.52356195606,10.1996723448,2.0,100.0,0.0,0.0,0.0,2.44948974278,2.44948974278,100.0,100.0,0.0,10.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,-1.0,-1.0,0.0,-1.0,5.28540221886,7.64385618977,-1.0,-1.0,-1.0,-1.0,6.37503943135,5.32192809489,2.16188768238,0.913782503325,-1.0,1.58496250072,2.0,100.0,6.41025641026,0.0,0.0,2.2360679775,2.2360679775,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
9,-1.0,-1.0,-1.0,-1.0,4.64385618977,6.2288186905,-1.0,-1.0,-1.0,-1.0,7.78135971352,4.64385618977,4.56559717585,2.14261232273,-1.0,0.0,2.0,100.0,37.5,0.0,0.0,1.73205080757,1.73205080757,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
10,-1.0,-1.0,-1.0,-1.0,6.96578428466,9.28771237955,-1.0,-1.0,-1.0,-1.0,9.55074678538,6.96578428466,5.40544784371,5.60207419367,9.07681559705,17.4682024104,2.0,100.0,1.90217391304,0.0,0.0,2.2360679775,2.2360679775,100.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
